anno,1h,3h,6h,12h,24h
2000,36.2,36.2,62,73.2,93.2
2001,37,52.8,55,69.8,78.8
2002,41.8,55.4,58.2,59,60
2003,25.8,29.8,31,41,46.8
2004,21.2,28,39,45.6,61.6
2005,57.2,60.8,61,70,90.2
2006,36,50.4,57.4,93.6,109.2
2007,65.8,92.4,107.4,113.6,127.4
2008,47.2,49.4,59.6,89.8,102.2
2009,70.8,105.2,132.6,136.6,153
2010,47.6,54.8,55.4,70.8,75.6
2011,21.8,22.4,35,50.2,63.8
2012,19,30.8,40.8,47.4,50.2
2013,12,29.8,43.6,50.2,62.4
2014,74.2,92.6,96.8,96.8,97.2
2015,25.8,30.2,34.8,38,52.4
2016,38.6,38.8,39.2,39.2,52.2
2017,48.4,54,57,64.2,99.8
2018,20.8,24,25.6,36.4,38.6
2019,31.2,32.2,44.2,53.2,60.8
2020,80,93.2,93.2,93.2,93.2
2021,31.8,40.2,42,42,42.6



