@T,table,
Created,2017-05-02 08:43,
Author,HortonMachine library,
@H,timestamp,value_5
ID,,5
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2013-12-15 00:00,0
,2013-12-15 01:00,0
,2013-12-15 02:00,0
,2013-12-15 03:00,0
,2013-12-15 04:00,0
,2013-12-15 05:00,0
,2013-12-15 06:00,0
,2013-12-15 07:00,0.233477132581038
,2013-12-15 08:00,0.00797724182593229
,2013-12-15 09:00,0.0500940823761738
,2013-12-15 10:00,0.0843406385541009
,2013-12-15 11:00,0.104327027235782
,2013-12-15 12:00,0.106179058407362
,2013-12-15 13:00,0.0885539977239274
,2013-12-15 14:00,0.0532111940243305
,2013-12-15 15:00,0.00473795085131126
,2013-12-15 16:00,0.258244027749715
,2013-12-15 17:00,0
,2013-12-15 18:00,0
,2013-12-15 19:00,0
,2013-12-15 20:00,0
,2013-12-15 21:00,0
,2013-12-15 22:00,0
,2013-12-15 23:00,0
,2013-12-16 00:00,0
,2013-12-16 01:00,0
,2013-12-16 02:00,0
,2013-12-16 03:00,0
,2013-12-16 04:00,0
,2013-12-16 05:00,0
,2013-12-16 06:00,0
,2013-12-16 07:00,0.607581921301898
,2013-12-16 08:00,0.0069578189997632
,2013-12-16 09:00,0.0521022547863201
,2013-12-16 10:00,0.0865176411085865
,2013-12-16 11:00,0.10594451141126
,2013-12-16 12:00,0.106522243373152
,2013-12-16 13:00,0.0885557690891342
,2013-12-16 14:00,0.05321485802616
,2013-12-16 15:00,0.00406111396626135
,2013-12-16 16:00,0.629227702558653
,2013-12-16 17:00,0
,2013-12-16 18:00,0
,2013-12-16 19:00,0
,2013-12-16 20:00,0
,2013-12-16 21:00,0
,2013-12-16 22:00,0
,2013-12-16 23:00,0
,2013-12-17 00:00,0
,2013-12-17 01:00,0
,2013-12-17 02:00,0
,2013-12-17 03:00,0
,2013-12-17 04:00,0
,2013-12-17 05:00,0
,2013-12-17 06:00,0
,2013-12-17 07:00,0.0437381134465953
,2013-12-17 08:00,0.00728748680278025
,2013-12-17 09:00,0.0513137933205383
,2013-12-17 10:00,0.086507351560446
,2013-12-17 11:00,0.105912450649816
,2013-12-17 12:00,0.106486810830319
,2013-12-17 13:00,0.0895678213940702
,2013-12-17 14:00,0.0532012065448991
,2013-12-17 15:00,0.00400266683477589
,2013-12-17 16:00,0
,2013-12-17 17:00,0
,2013-12-17 18:00,0
,2013-12-17 19:00,0
,2013-12-17 20:00,0
,2013-12-17 21:00,0
,2013-12-17 22:00,0
,2013-12-17 23:00,0
,2013-12-18 00:00,0
,2013-12-18 01:00,0
,2013-12-18 02:00,0
,2013-12-18 03:00,0
