@T,table,
Created,2019-01-02 08:07,
Author,HortonMachine library,
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2010-01-01 00:00,-3.4588817075
,2010-01-01 01:00,-3.7868737044
,2010-01-01 02:00,-4.2541898264
,2010-01-01 03:00,-4.7251840817
,2010-01-01 04:00,-4.7603700147
,2010-01-01 05:00,-4.6490775268
,2010-01-01 06:00,-4.6420983249
,2010-01-01 07:00,-5.2387359743
,2010-01-01 08:00,-5.0051359099
,2010-01-01 09:00,-4.5799885208
,2010-01-01 10:00,-2.8816480254
,2010-01-01 11:00,-2.2512508655
,2010-01-01 12:00,-0.3167523935
,2010-01-01 13:00,-0.7080465733
,2010-01-01 14:00,-1.7352711697
,2010-01-01 15:00,-2.6722441996
,2010-01-01 16:00,-3.4130141389
,2010-01-01 17:00,-3.851763597
,2010-01-01 18:00,-4.1087585448
,2010-01-01 19:00,-4.0524640753
,2010-01-01 20:00,-4.0911696687
,2010-01-01 21:00,-3.8925020209
,2010-01-01 22:00,-3.708665066
,2010-01-01 23:00,-3.9338434603
,2010-01-02 00:00,-3.7476451905
,2010-01-02 01:00,-3.4112594022
,2010-01-02 02:00,-3.4380897146
,2010-01-02 03:00,-3.8708667732
,2010-01-02 04:00,-4.3850730118
,2010-01-02 05:00,-5.1735571385
,2010-01-02 06:00,-5.6559803921
,2010-01-02 07:00,-6.2122543849
,2010-01-02 08:00,-6.9080865016
,2010-01-02 09:00,-5.8985625542
,2010-01-02 10:00,-5.3473248249
,2010-01-02 11:00,-6.359405972
,2010-01-02 12:00,-7.8595948696
,2010-01-02 13:00,-8.7926462785
,2010-01-02 14:00,-9.5673048206
,2010-01-02 15:00,-10.3871377755
,2010-01-02 16:00,-10.9173727492
,2010-01-02 17:00,-11.6192496543
,2010-01-02 18:00,-11.9567344772
,2010-01-02 19:00,-12.0575348487
,2010-01-02 20:00,-11.9877122325
,2010-01-02 21:00,-12.0648516497
,2010-01-02 22:00,-12.0846622932
,2010-01-02 23:00,-12.4259499564
,2010-01-03 00:00,-13.5378022457
,2010-01-03 01:00,-13.7800601049
,2010-01-03 02:00,-13.1545266508
,2010-01-03 03:00,-13.5383829043
,2010-01-03 04:00,-14.2329354254
,2010-01-03 05:00,-14.6040368212
,2010-01-03 06:00,-14.580496394
,2010-01-03 07:00,-13.9623889916
,2010-01-03 08:00,-13.5395557672
,2010-01-03 09:00,-12.4143446852
,2010-01-03 10:00,-11.2440111315
,2010-01-03 11:00,-7.9765575919
,2010-01-03 12:00,-6.9795052016
,2010-01-03 13:00,-7.795177108
,2010-01-03 14:00,-10.2051623149
,2010-01-03 15:00,-10.6704211826
,2010-01-03 16:00,-11.4799037784
,2010-01-03 17:00,-11.5278638807
,2010-01-03 18:00,-11.7594995481
,2010-01-03 19:00,-11.783744424
,2010-01-03 20:00,-12.2439997783
,2010-01-03 21:00,-12.2023088426
,2010-01-03 22:00,-12.8163122631
,2010-01-03 23:00,-12.8503931521
,2010-01-04 00:00,-12.5087735775
,2010-01-04 01:00,-12.8139268775
,2010-01-04 02:00,-12.6509418219
,2010-01-04 03:00,-12.5956028612
,2010-01-04 04:00,-12.6136666758
,2010-01-04 05:00,-12.5641173084
