@T,table,
Created,2019-01-13 17:07,
Author,HortonMachine library,
@H,timestamp,value_2
ID,,2
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2010-01-01 00:00,0
,2010-01-01 01:00,0
,2010-01-01 02:00,0
,2010-01-01 03:00,0
,2010-01-01 04:00,0
,2010-01-01 05:00,0
,2010-01-01 06:00,0
,2010-01-01 07:00,0
,2010-01-01 08:00,39.1572976246
,2010-01-01 09:00,75.5753592963
,2010-01-01 10:00,92.1642193045
,2010-01-01 11:00,99.1112660257
,2010-01-01 12:00,246.6970455972
,2010-01-01 13:00,91.8742435133
,2010-01-01 14:00,75.3000419768
,2010-01-01 15:00,38.9809904689
,2010-01-01 16:00,0
,2010-01-01 17:00,0
,2010-01-01 18:00,0
,2010-01-01 19:00,0
,2010-01-01 20:00,0
,2010-01-01 21:00,0
,2010-01-01 22:00,0
,2010-01-01 23:00,0
,2010-01-02 00:00,0
,2010-01-02 01:00,0
,2010-01-02 02:00,0
,2010-01-02 03:00,0
,2010-01-02 04:00,0
,2010-01-02 05:00,0
,2010-01-02 06:00,0
,2010-01-02 07:00,0
,2010-01-02 08:00,39.5770474741
,2010-01-02 09:00,75.7404746895
,2010-01-02 10:00,92.2963376927
,2010-01-02 11:00,99.4325448184
,2010-01-02 12:00,248.3162702153
,2010-01-02 13:00,92.1160610762
,2010-01-02 14:00,75.5399655663
,2010-01-02 15:00,39.4989455856
,2010-01-02 16:00,0
,2010-01-02 17:00,0
,2010-01-02 18:00,0
,2010-01-02 19:00,0
,2010-01-02 20:00,0
,2010-01-02 21:00,0
,2010-01-02 22:00,0
,2010-01-02 23:00,0
,2010-01-03 00:00,0
,2010-01-03 01:00,0
,2010-01-03 02:00,0
,2010-01-03 03:00,0
,2010-01-03 04:00,0
,2010-01-03 05:00,0
,2010-01-03 06:00,0
,2010-01-03 07:00,0
,2010-01-03 08:00,40.269942774
,2010-01-03 09:00,76.247966363
,2010-01-03 10:00,92.7044010802
,2010-01-03 11:00,176.1517262904
,2010-01-03 12:00,249.8260411249
,2010-01-03 13:00,92.3542490892
,2010-01-03 14:00,75.9956680008
,2010-01-03 15:00,40.0572308156
,2010-01-03 16:00,0
,2010-01-03 17:00,0
,2010-01-03 18:00,0
,2010-01-03 19:00,0
,2010-01-03 20:00,0
,2010-01-03 21:00,0
,2010-01-03 22:00,0
,2010-01-03 23:00,0
,2010-01-04 00:00,0
,2010-01-04 01:00,0
,2010-01-04 02:00,0
,2010-01-04 03:00,0
,2010-01-04 04:00,0
,2010-01-04 05:00,0
,2010-01-04 06:00,0
,2010-01-04 07:00,0
,2010-01-04 08:00,40.588379656
,2010-01-04 09:00,76.0953705236
,2010-01-04 10:00,92.1564839054
,2010-01-04 11:00,176.6744192091
,2010-01-04 12:00,250.2691993277
,2010-01-04 13:00,92.0015462324
,2010-01-04 14:00,75.6953303036
,2010-01-04 15:00,40.3423059286
,2010-01-04 16:00,0
,2010-01-04 17:00,0
,2010-01-04 18:00,0
,2010-01-04 19:00,0
,2010-01-04 20:00,0
,2010-01-04 21:00,0
,2010-01-04 22:00,0
,2010-01-04 23:00,0
,2010-01-05 00:00,0
,2010-01-05 01:00,0
,2010-01-05 02:00,0
,2010-01-05 03:00,0
,2010-01-05 04:00,0
,2010-01-05 05:00,0
,2010-01-05 06:00,0
,2010-01-05 07:00,0
,2010-01-05 08:00,41.0123495892
,2010-01-05 09:00,76.1031654629
,2010-01-05 10:00,92.3103238881
,2010-01-05 11:00,178.2256687014
,2010-01-05 12:00,251.9959367663
,2010-01-05 13:00,92.1555704384
,2010-01-05 14:00,75.9072824468
,2010-01-05 15:00,40.8673163152
,2010-01-05 16:00,0
,2010-01-05 17:00,0
,2010-01-05 18:00,0
,2010-01-05 19:00,0
,2010-01-05 20:00,0
,2010-01-05 21:00,0
,2010-01-05 22:00,0
,2010-01-05 23:00,0
,2010-01-06 00:00,0
,2010-01-06 01:00,0
,2010-01-06 02:00,0
,2010-01-06 03:00,0
,2010-01-06 04:00,0
,2010-01-06 05:00,0
,2010-01-06 06:00,0
,2010-01-06 07:00,0
,2010-01-06 08:00,41.9011906527
,2010-01-06 09:00,76.8536724353
,2010-01-06 10:00,93.0239935348
,2010-01-06 11:00,180.6527367456
,2010-01-06 12:00,254.2084576917
,2010-01-06 13:00,282.6217459012
,2010-01-06 14:00,76.2404599208
,2010-01-06 15:00,41.5209005384
,2010-01-06 16:00,0
,2010-01-06 17:00,0
