@T,table
Created,2020-05-28 20:53
Author,HortonMachine library
@H,timestamp,value_3
ID,,3
Type,Date,double
Format,yyyy-MM-dd HH:mm,
,2010-01-01 00:00,63.49325778
,2010-01-01 01:00,68.76961048
,2010-01-01 02:00,70.18701656
,2010-01-01 03:00,69.9206032
,2010-01-01 04:00,69.37090251
,2010-01-01 05:00,69.26473281
,2010-01-01 06:00,69.06430213
,2010-01-01 07:00,70.24357314
,2010-01-01 08:00,69.56190709
,2010-01-01 09:00,66.70824274
,2010-01-01 10:00,66.19178559
,2010-01-01 11:00,67.59976557
,2010-01-01 12:00,68.98889335
,2010-01-01 13:00,67.81136059999999
,2010-01-01 14:00,64.16309938
,2010-01-01 15:00,61.70493034
,2010-01-01 16:00,64.64433476
,2010-01-01 17:00,63.90083095
,2010-01-01 18:00,65.05893893
,2010-01-01 19:00,63.36295424
,2010-01-01 20:00,68.151014
,2010-01-01 21:00,68.29772486
,2010-01-01 22:00,65.94105478
,2010-01-01 23:00,64.83967518
,2010-01-02 00:00,62.97150534
,2010-01-02 01:00,63.59449782
,2010-01-02 02:00,60.15666786
,2010-01-02 03:00,61.96852617
,2010-01-02 04:00,60.82263442
,2010-01-02 05:00,52.52722368
,2010-01-02 06:00,46.09397126
,2010-01-02 07:00,52.46589478
,2010-01-02 08:00,48.84889708
,2010-01-02 09:00,46.2763364
,2010-01-02 10:00,34.98734989
,2010-01-02 11:00,25.68761269
,2010-01-02 12:00,22.17170487
,2010-01-02 13:00,20.88896941
,2010-01-02 14:00,18.88848757
,2010-01-02 15:00,19.13612507
,2010-01-02 16:00,19.771402600000002
,2010-01-02 17:00,20.127635199999997
,2010-01-02 18:00,21.74464093
,2010-01-02 19:00,23.49799209
,2010-01-02 20:00,24.857359600000002
,2010-01-02 21:00,26.50989015
,2010-01-02 22:00,29.10096799
,2010-01-02 23:00,31.95004432
,2010-01-03 00:00,31.76397109
,2010-01-03 01:00,29.67942627
,2010-01-03 02:00,29.69967353
,2010-01-03 03:00,25.57883558
,2010-01-03 04:00,24.76635109
,2010-01-03 05:00,25.0098819
,2010-01-03 06:00,28.58255835
,2010-01-03 07:00,32.12384206
,2010-01-03 08:00,34.72610362
,2010-01-03 09:00,31.42624749
,2010-01-03 10:00,26.27792067
,2010-01-03 11:00,26.29591634
,2010-01-03 12:00,23.61276334
