@T,table,
Created,2019-01-13 17:07,
Author,HortonMachine library,
@H,timestamp,value_6
ID,,6
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2010-01-01 00:00,0
,2010-01-01 01:00,0
,2010-01-01 02:00,0
,2010-01-01 03:00,0
,2010-01-01 04:00,0
,2010-01-01 05:00,0
,2010-01-01 06:00,0
,2010-01-01 07:00,0
,2010-01-01 08:00,39.4166057095
,2010-01-01 09:00,74.9668719298
,2010-01-01 10:00,91.2596300973
,2010-01-01 11:00,98.2599352341
,2010-01-01 12:00,98.165244025
,2010-01-01 13:00,91.0611436611
,2010-01-01 14:00,74.7816460551
,2010-01-01 15:00,39.3082760132
,2010-01-01 16:00,0
,2010-01-01 17:00,0
,2010-01-01 18:00,0
,2010-01-01 19:00,0
,2010-01-01 20:00,0
,2010-01-01 21:00,0
,2010-01-01 22:00,0
,2010-01-01 23:00,0
,2010-01-02 00:00,0
,2010-01-02 01:00,0
,2010-01-02 02:00,0
,2010-01-02 03:00,0
,2010-01-02 04:00,0
,2010-01-02 05:00,0
,2010-01-02 06:00,0
,2010-01-02 07:00,0
,2010-01-02 08:00,39.9240872344
,2010-01-02 09:00,75.2502522411
,2010-01-02 10:00,91.4540808926
,2010-01-02 11:00,98.4519056334
,2010-01-02 12:00,98.3981844434
,2010-01-02 13:00,91.3164399567
,2010-01-02 14:00,75.0866366868
,2010-01-02 15:00,39.8728085329
,2010-01-02 16:00,0
,2010-01-02 17:00,0
,2010-01-02 18:00,0
,2010-01-02 19:00,0
,2010-01-02 20:00,0
,2010-01-02 21:00,0
,2010-01-02 22:00,0
,2010-01-02 23:00,0
,2010-01-03 00:00,0
,2010-01-03 01:00,0
,2010-01-03 02:00,0
,2010-01-03 03:00,0
,2010-01-03 04:00,0
,2010-01-03 05:00,0
,2010-01-03 06:00,0
,2010-01-03 07:00,0
,2010-01-03 08:00,40.5158884633
,2010-01-03 09:00,75.6215304388
,2010-01-03 10:00,91.7807942831
,2010-01-03 11:00,98.7292814871
,2010-01-03 12:00,98.6066038397
,2010-01-03 13:00,91.4971785441
,2010-01-03 14:00,75.3377374029
,2010-01-03 15:00,40.3190126721
,2010-01-03 16:00,0
,2010-01-03 17:00,0
,2010-01-03 18:00,0
,2010-01-03 19:00,0
,2010-01-03 20:00,0
,2010-01-03 21:00,0
,2010-01-03 22:00,0
,2010-01-03 23:00,0
,2010-01-04 00:00,0
,2010-01-04 01:00,0
,2010-01-04 02:00,0
,2010-01-04 03:00,0
,2010-01-04 04:00,0
,2010-01-04 05:00,0
,2010-01-04 06:00,0
,2010-01-04 07:00,0
,2010-01-04 08:00,40.8053729807
,2010-01-04 09:00,75.4710683308
,2010-01-04 10:00,91.4504183369
,2010-01-04 11:00,98.382387519
,2010-01-04 12:00,98.3248723186
,2010-01-04 13:00,91.29203835
,2010-01-04 14:00,75.3297901386
,2010-01-04 15:00,40.7189035802
,2010-01-04 16:00,0
,2010-01-04 17:00,0
,2010-01-04 18:00,0
,2010-01-04 19:00,0
,2010-01-04 20:00,0
,2010-01-04 21:00,0
,2010-01-04 22:00,0
,2010-01-04 23:00,0
,2010-01-05 00:00,0
,2010-01-05 01:00,0
,2010-01-05 02:00,0
,2010-01-05 03:00,0
,2010-01-05 04:00,0
,2010-01-05 05:00,0
,2010-01-05 06:00,0
,2010-01-05 07:00,0
,2010-01-05 08:00,41.3587223118
,2010-01-05 09:00,75.6836081549
,2010-01-05 10:00,91.5842212087
,2010-01-05 11:00,98.4282022969
,2010-01-05 12:00,98.302096308
,2010-01-05 13:00,91.3080339478
,2010-01-05 14:00,75.4594077229
,2010-01-05 15:00,41.2000857108
,2010-01-05 16:00,0
,2010-01-05 17:00,0
,2010-01-05 18:00,0
,2010-01-05 19:00,0
,2010-01-05 20:00,0
,2010-01-05 21:00,0
,2010-01-05 22:00,0
,2010-01-05 23:00,0
,2010-01-06 00:00,0
,2010-01-06 01:00,0
,2010-01-06 02:00,0
,2010-01-06 03:00,0
,2010-01-06 04:00,0
,2010-01-06 05:00,0
,2010-01-06 06:00,0
,2010-01-06 07:00,0
,2010-01-06 08:00,42.0686057864
,2010-01-06 09:00,76.1282780276
,2010-01-06 10:00,91.9863885996
,2010-01-06 11:00,98.8900195944
,2010-01-06 12:00,98.754566296
,2010-01-06 13:00,91.7634224418
,2010-01-06 14:00,75.8713421554
,2010-01-06 15:00,41.8914901181
,2010-01-06 16:00,0
,2010-01-06 17:00,0
