@T,table
@H,timestamp,value_1
ID,,1
,2012-08-01 00:00,76.25
,2012-08-01 01:00,74
,2012-08-01 02:00,74.5
,2012-08-01 03:00,72.5
,2012-08-01 04:00,70.5
,2012-08-01 05:00,70
,2012-08-01 06:00,64.75
,2012-08-01 07:00,56.75
,2012-08-01 08:00,45
,2012-08-01 09:00,41.25
,2012-08-01 10:00,35.25
,2012-08-01 11:00,40.25
,2012-08-01 12:00,37.5
,2012-08-01 13:00,39.5
,2012-08-01 14:00,39.75
,2012-08-01 15:00,38.5
,2012-08-01 16:00,44.75
,2012-08-01 17:00,54
,2012-08-01 18:00,62.5
,2012-08-01 19:00,62
,2012-08-01 20:00,62.75
,2012-08-01 21:00,63.5
,2012-08-01 22:00,64.5
,2012-08-01 23:00,64.5
,2012-08-02 00:00,65
,2012-08-02 01:00,63.75
,2012-08-02 02:00,65.75
,2012-08-02 03:00,66.75
,2012-08-02 04:00,66.25
,2012-08-02 05:00,65.75
,2012-08-02 06:00,66.5
,2012-08-02 07:00,58
,2012-08-02 08:00,45.75
,2012-08-02 09:00,42.5
,2012-08-02 10:00,44.75
,2012-08-02 11:00,45
,2012-08-02 12:00,40.25
,2012-08-02 13:00,41.75
,2012-08-02 14:00,36.5
,2012-08-02 15:00,39.5
,2012-08-02 16:00,45.25
,2012-08-02 17:00,46.75
,2012-08-02 18:00,58.75
,2012-08-02 19:00,58.75
,2012-08-02 20:00,63.25
,2012-08-02 21:00,69.5
,2012-08-02 22:00,73.75
,2012-08-02 23:00,73.5
,2012-08-03 00:00,72
,2012-08-03 01:00,70
,2012-08-03 02:00,67
,2012-08-03 03:00,61.5
,2012-08-03 04:00,62
,2012-08-03 05:00,64.25
,2012-08-03 06:00,64
,2012-08-03 07:00,57.75
,2012-08-03 08:00,44.25
,2012-08-03 09:00,46.5
,2012-08-03 10:00,45.5
,2012-08-03 11:00,40.5
,2012-08-03 12:00,42.5
,2012-08-03 13:00,38.5
,2012-08-03 14:00,38.75
,2012-08-03 15:00,37.5
,2012-08-03 16:00,46.25
,2012-08-03 17:00,51
,2012-08-03 18:00,60.75
,2012-08-03 19:00,60.75
,2012-08-03 20:00,61
,2012-08-03 21:00,64.25
,2012-08-03 22:00,68.5
,2012-08-03 23:00,70.25
,2012-08-04 00:00,74
,2012-08-04 01:00,75.25
,2012-08-04 02:00,76.75
,2012-08-04 03:00,74
,2012-08-04 04:00,77.25
,2012-08-04 05:00,77
,2012-08-04 06:00,73.5
,2012-08-04 07:00,69.25
,2012-08-04 08:00,60.5
,2012-08-04 09:00,50.75
,2012-08-04 10:00,49
,2012-08-04 11:00,43.75
,2012-08-04 12:00,42
,2012-08-04 13:00,37
,2012-08-04 14:00,37.5
,2012-08-04 15:00,39.5
,2012-08-04 16:00,47.25
,2012-08-04 17:00,53
,2012-08-04 18:00,63.25
,2012-08-04 19:00,64.25
,2012-08-04 20:00,64.75
,2012-08-04 21:00,68
,2012-08-04 22:00,72
,2012-08-04 23:00,73
,2012-08-05 00:00,72
,2012-08-05 01:00,73.75
,2012-08-05 02:00,74.25
,2012-08-05 03:00,73.75
,2012-08-05 04:00,74.75
,2012-08-05 05:00,80.75
,2012-08-05 06:00,76.5
,2012-08-05 07:00,58.25
,2012-08-05 08:00,49.5
,2012-08-05 09:00,41.75
,2012-08-05 10:00,40.5
,2012-08-05 11:00,36.5
,2012-08-05 12:00,36.5
,2012-08-05 13:00,39.25
,2012-08-05 14:00,38.25
,2012-08-05 15:00,39.75
,2012-08-05 16:00,41.25
,2012-08-05 17:00,51.5
,2012-08-05 18:00,60.75
,2012-08-05 19:00,65.75
,2012-08-05 20:00,73.25
,2012-08-05 21:00,92.25
,2012-08-05 22:00,98.25
,2012-08-05 23:00,100
,2012-08-06 00:00,98.75
,2012-08-06 01:00,91.5
,2012-08-06 02:00,85
,2012-08-06 03:00,84.5
,2012-08-06 04:00,85.5
,2012-08-06 05:00,91
,2012-08-06 06:00,89
,2012-08-06 07:00,71.5
,2012-08-06 08:00,54.5
,2012-08-06 09:00,52.75
,2012-08-06 10:00,47
,2012-08-06 11:00,46.75
,2012-08-06 12:00,50.5
,2012-08-06 13:00,58.25
,2012-08-06 14:00,58
,2012-08-06 15:00,51.25
,2012-08-06 16:00,50.5
,2012-08-06 17:00,58.25
,2012-08-06 18:00,65.5
,2012-08-06 19:00,67.25
,2012-08-06 20:00,69.5
,2012-08-06 21:00,63.5
,2012-08-06 22:00,65.75
,2012-08-06 23:00,73
,2012-08-07 00:00,71
,2012-08-07 01:00,73.5
,2012-08-07 02:00,72.75
,2012-08-07 03:00,69.25
,2012-08-07 04:00,69.25
,2012-08-07 05:00,64.25
,2012-08-07 06:00,58.25
,2012-08-07 07:00,47.75
,2012-08-07 08:00,49.5
,2012-08-07 09:00,44
,2012-08-07 10:00,42.5
,2012-08-07 11:00,44
,2012-08-07 12:00,48.5
,2012-08-07 13:00,50
,2012-08-07 14:00,45.75
,2012-08-07 15:00,50.25
,2012-08-07 16:00,51.25
,2012-08-07 17:00,54.5
,2012-08-07 18:00,64.5
,2012-08-07 19:00,61.5
,2012-08-07 20:00,61.75
,2012-08-07 21:00,63.25
,2012-08-07 22:00,71.5
,2012-08-07 23:00,75.75
,2012-08-08 00:00,78
,2012-08-08 01:00,78.25
,2012-08-08 02:00,78.25
,2012-08-08 03:00,81
,2012-08-08 04:00,84
,2012-08-08 05:00,82.25
,2012-08-08 06:00,80.5
,2012-08-08 07:00,59.5
,2012-08-08 08:00,49.75
,2012-08-08 09:00,49.25
,2012-08-08 10:00,43.25
,2012-08-08 11:00,41.75
,2012-08-08 12:00,39.25
,2012-08-08 13:00,38
,2012-08-08 14:00,38.5
,2012-08-08 15:00,37.25
,2012-08-08 16:00,41.75
,2012-08-08 17:00,53.75
,2012-08-08 18:00,64.25
,2012-08-08 19:00,63
,2012-08-08 20:00,63.5
,2012-08-08 21:00,64.25
,2012-08-08 22:00,65.25
,2012-08-08 23:00,65.75
,2012-08-09 00:00,65.5
,2012-08-09 01:00,68.25
,2012-08-09 02:00,67.25
,2012-08-09 03:00,66.75
,2012-08-09 04:00,69
,2012-08-09 05:00,68.5
