@T,table,
@H,timestamp,value_1
ID,,1
,2014-01-01 00:00,0.0008579176
,2014-01-01 01:00,0.0008497423
,2014-01-01 02:00,0.0008456723
,2014-01-01 03:00,0.0008375674
,2014-01-01 04:00,0.0008214978
,2014-01-01 05:00,0.0008254977
,2014-01-01 06:00,0.0008175096
,2014-01-01 07:00,0.000813533
,2014-01-01 08:00,0.0008056147
,2014-01-01 09:00,0.0007977428
,2014-01-01 10:00,0.0007860218
,2014-01-01 11:00,0.0007860218
,2014-01-01 12:00,0.0007821379
,2014-01-01 13:00,0.0007782655
,2014-01-01 14:00,0.0007667176
,2014-01-01 15:00,0.0007744047
,2014-01-01 16:00,0.0007705554
,2014-01-01 17:00,0.0007590765
,2014-01-01 18:00,0.0007552731
,2014-01-01 19:00,0.0007477007
,2014-01-01 20:00,0.0007364279
,2014-01-01 21:00,0.0007401741
,2014-01-01 22:00,0.0007289697
,2014-01-01 23:00,0.0007326931
,2014-01-02 00:00,0.0007105231
,2014-01-02 01:00,0.000699591
,2014-01-02 02:00,0.0007068678
,2014-01-02 03:00,0.0007068678
,2014-01-02 04:00,0.0007105231
,2014-01-02 05:00,0.0007032238
,2014-01-02 06:00,0.000699591
,2014-01-02 07:00,0.0006887605
,2014-01-02 08:00,0.0006923594
,2014-01-02 09:00,0.0006887605
,2014-01-02 10:00,0.0006923594
,2014-01-02 11:00,0.0007141897
,2014-01-02 12:00,0.000721557
,2014-01-02 13:00,0.0007252577
,2014-01-02 14:00,0.0007744047
,2014-01-02 15:00,0.0007514812
,2014-01-02 16:00,0.0007477007
,2014-01-02 17:00,0.0007326931
,2014-01-02 18:00,0.0007401741
,2014-01-02 19:00,0.0007252577
,2014-01-02 20:00,0.0007141897
,2014-01-02 21:00,0.0007141897
,2014-01-02 22:00,0.0007068678
,2014-01-02 23:00,0.0006887605
,2014-01-03 00:00,0.0006887605
,2014-01-03 01:00,0.0006815964
,2014-01-03 02:00,0.0006780312
,2014-01-03 03:00,0.0006674029
,2014-01-03 04:00,0.0006603732
,2014-01-03 05:00,0.0006499123
,2014-01-03 06:00,0.000642994
,2014-01-03 07:00,0.0006499123
,2014-01-03 08:00,0.000642994
,2014-01-03 09:00,0.0006395515
,2014-01-03 10:00,0.0006395515
,2014-01-03 11:00,0.00063612
,2014-01-03 12:00,0.000642994
,2014-01-03 13:00,0.00063612
,2014-01-03 14:00,0.0006464476
,2014-01-03 15:00,0.0006326997
,2014-01-03 16:00,0.0006292904
,2014-01-03 17:00,0.0006258921
,2014-01-03 18:00,0.0006191287
,2014-01-03 19:00,0.0006191287
,2014-01-03 20:00,0.0006124093
,2014-01-03 21:00,0.0006157635
,2014-01-03 22:00,0.0006090661
,2014-01-03 23:00,0.0006057339
,2014-01-04 00:00,0.0006057339
,2014-01-04 01:00,0.0005892369
,2014-01-04 02:00,0.0005892369
,2014-01-04 03:00,0.0005925145
,2014-01-04 04:00,0.0005892369
,2014-01-04 05:00,0.0005925145
,2014-01-04 06:00,0.0005991023
,2014-01-04 07:00,0.0006464476
,2014-01-04 08:00,0.0007178677
,2014-01-04 09:00,0.0008335325
,2014-01-04 10:00,0.0009509679
,2014-01-04 11:00,0.0011595093
,2014-01-04 12:00,0.001415364
,2014-01-04 13:00,0.0015286893
,2014-01-04 14:00,0.0017839431
,2014-01-04 15:00,0.0018940425
,2014-01-04 16:00,0.0024586372
,2014-01-04 17:00,0.0029649126
,2014-01-04 18:00,0.0037237543
,2014-01-04 19:00,0.0047815461
,2014-01-04 20:00,0.0054762066
,2014-01-04 21:00,0.0057546
,2014-01-04 22:00,0.00578032
,2014-01-04 23:00,0.0053523934
,2014-01-05 00:00,0.0049793094
,2014-01-05 01:00,0.004588572
,2014-01-05 02:00,0.0045661822
,2014-01-05 03:00,0.0042061848
,2014-01-05 04:00,0.0040796531
,2014-01-05 05:00,0.0040069114
,2014-01-05 06:00,0.0039451853
,2014-01-05 07:00,0.0041426291
,2014-01-05 08:00,0.0042061848
,2014-01-05 09:00,0.0047242936
,2014-01-05 10:00,0.0048972949
,2014-01-05 11:00,0.0054264774
,2014-01-05 12:00,0.0058969129
,2014-01-05 13:00,0.0063500539
,2014-01-05 14:00,0.0064458548
,2014-01-05 15:00,0.0063364383
,2014-01-05 16:00,0.0062416194
,2014-01-05 17:00,0.0060149056
,2014-01-05 18:00,0.0058061089
,2014-01-05 19:00,0.005614368
,2014-01-05 20:00,0.0054140876
,2014-01-05 21:00,0.0052667332
,2014-01-05 22:00,0.0050859597
,2014-01-05 23:00,0.0049557932
,2014-01-06 00:00,0.0048160964
,2014-01-06 01:00,0.0046674544
,2014-01-06 02:00,0.0045438581
,2014-01-06 03:00,0.0044003478
,2014-01-06 04:00,0.0043026092
,2014-01-06 05:00,0.0041955518
,2014-01-06 06:00,0.0040796531
,2014-01-06 07:00,0.0039862721
,2014-01-06 08:00,0.0039043536
,2014-01-06 09:00,0.0037833842
,2014-01-06 10:00,0.0037040039
,2014-01-06 11:00,0.0036159054
,2014-01-06 12:00,0.0035290763
,2014-01-06 13:00,0.0034624162
,2014-01-06 14:00,0.0033592014
,2014-01-06 15:00,0.0033036907
,2014-01-06 16:00,0.0031943297
,2014-01-06 17:00,0.0031404756
,2014-01-06 18:00,0.0030431662
,2014-01-06 19:00,0.0029735471
,2014-01-06 20:00,0.0029134216
,2014-01-06 21:00,0.0028371977
,2014-01-06 22:00,0.0027704584
,2014-01-06 23:00,0.002688371
,2014-01-07 00:00,0.0026317891
,2014-01-07 01:00,0.0025759278
,2014-01-07 02:00,0.0025364664
,2014-01-07 03:00,0.0024509342
,2014-01-07 04:00,0.0024279123
,2014-01-07 05:00,0.0023521116
,2014-01-07 06:00,0.0023221944
,2014-01-07 07:00,0.0022484043
,2014-01-07 08:00,0.0022048149
,2014-01-07 09:00,0.0021474901
,2014-01-07 10:00,0.0020980725
,2014-01-07 11:00,0.0020701432
,2014-01-07 12:00,0.0020286696
,2014-01-07 13:00,0.0019944923
,2014-01-07 14:00,0.0019539385
,2014-01-07 15:00,0.0019138836
,2014-01-07 16:00,0.0018874564
,2014-01-07 17:00,0.0018482282
,2014-01-07 18:00,0.0018094933
