@T,table
Created,2022-06-04 09:35
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2013-12-15 11:00,281.90785547376066
,2013-12-15 12:00,281.5631817241362
,2013-12-15 13:00,281.7340187995521
,2013-12-15 14:00,281.47960804660664
,2013-12-15 15:00,281.09797070148073
,2013-12-15 16:00,280.33886165470295
,2013-12-15 17:00,279.4822329761265
,2013-12-15 18:00,279.0020779992073
,2013-12-15 19:00,278.8484811689339
,2013-12-15 20:00,278.73732005028177
,2013-12-15 21:00,278.83139812871593
,2013-12-15 22:00,278.77440243145725
,2013-12-15 23:00,278.2803854754407
,2013-12-16 00:00,278.10957191798764
,2013-12-16 01:00,278.0905455554998
,2013-12-16 02:00,277.7683403270431
,2013-12-16 03:00,277.93408733224805
,2013-12-16 04:00,277.8776427138647
,2013-12-16 05:00,277.6455613727284
,2013-12-16 06:00,277.68531953596283
,2013-12-16 07:00,277.6675783971985
,2013-12-16 08:00,278.76981684025037
,2013-12-16 09:00,279.9594952029876
,2013-12-16 10:00,280.4376862899087
,2013-12-16 11:00,281.64002027331134
,2013-12-16 12:00,281.8225739922195
,2013-12-16 13:00,281.5761470518094
,2013-12-16 14:00,281.3851227508066
,2013-12-16 15:00,280.6894149708592
,2013-12-16 16:00,280.24968535977473
,2013-12-16 17:00,279.6167426755521
,2013-12-16 18:00,279.2641629241859
,2013-12-16 19:00,279.1413296134613
,2013-12-16 20:00,279.1864257729081
,2013-12-16 21:00,279.3598512518271
,2013-12-16 22:00,279.4393955796662
,2013-12-16 23:00,279.0361144127886
,2013-12-17 00:00,278.59744526971053
,2013-12-17 01:00,278.5066208411072
,2013-12-17 02:00,278.40130236101214
,2013-12-17 03:00,278.6150361724597
,2013-12-17 04:00,278.38027982586704
,2013-12-17 05:00,278.20600470866424
,2013-12-17 06:00,278.32432890514247
,2013-12-17 07:00,277.91286962372635
,2013-12-17 08:00,279.3978385762522
,2013-12-17 09:00,281.52810182084386
,2013-12-17 10:00,281.50581858334766
,2013-12-17 11:00,282.536442166181
,2013-12-17 12:00,281.91779928926087
,2013-12-17 13:00,282.24365926162915
,2013-12-17 14:00,282.0913328593209
,2013-12-17 15:00,281.4325322797096
,2013-12-17 16:00,280.5351953565038
,2013-12-17 17:00,279.7392654179241
,2013-12-17 18:00,279.53346206615515
,2013-12-17 19:00,278.6979229804052
,2013-12-17 20:00,278.63999175307134
,2013-12-17 21:00,278.1899995846015
,2013-12-17 22:00,278.1553633536718
,2013-12-17 23:00,277.5046159843781
,2013-12-18 00:00,277.3328430271941
,2013-12-18 01:00,276.7467934184261
,2013-12-18 02:00,277.59088481424925
,2013-12-18 03:00,277.0496799609925
,2013-12-18 04:00,276.61451937923505
,2013-12-18 05:00,276.5516703601588
,2013-12-18 06:00,276.39621099250786
,2013-12-18 07:00,276.5220763340257
,2013-12-18 08:00,278.69047680011346
,2013-12-18 09:00,281.299796208406
,2013-12-18 10:00,282.3988176006526
,2013-12-18 11:00,282.68670567404047
,2013-12-18 12:00,282.71791968259834
,2013-12-18 13:00,282.9043838029788
,2013-12-18 14:00,282.7928926100742
,2013-12-18 15:00,282.0774999167747
,2013-12-18 16:00,281.2322901958463
,2013-12-18 17:00,279.47827692007627
,2013-12-18 18:00,278.662113524038
,2013-12-18 19:00,277.82222930626625
,2013-12-18 20:00,277.3396282484756
,2013-12-18 21:00,277.9158355802829
,2013-12-18 22:00,277.68958713379465
,2013-12-18 23:00,277.05976468559794
,2013-12-19 00:00,277.0538020917967
,2013-12-19 01:00,276.76528189504415
,2013-12-19 02:00,276.83062590419223
,2013-12-19 03:00,277.1679827561288
,2013-12-19 04:00,276.68535486468005
,2013-12-19 05:00,276.69564534279897
,2013-12-19 06:00,276.5173312217985
,2013-12-19 07:00,275.93603821042456
,2013-12-19 08:00,277.410190672786
,2013-12-19 09:00,279.88944142874476
,2013-12-19 10:00,281.3374676389067
,2013-12-19 11:00,282.2242230299994
,2013-12-19 12:00,281.39579913587335
,2013-12-19 13:00,282.327528034027
,2013-12-19 14:00,282.2313055179632
,2013-12-19 15:00,281.6157471115924
,2013-12-19 16:00,280.23251093967815
,2013-12-19 17:00,278.44509571194874
,2013-12-19 18:00,278.18315806165464
,2013-12-19 19:00,277.82406370331415
,2013-12-19 20:00,277.4281328540913
,2013-12-19 21:00,277.3767016118574
,2013-12-19 22:00,277.3872392235422
,2013-12-19 23:00,277.1141652861684
,2013-12-20 00:00,277.17725257894784
,2013-12-20 01:00,276.81941686063465
,2013-12-20 02:00,276.3760514172386
,2013-12-20 03:00,276.2034552684654
,2013-12-20 04:00,276.46399061252856
,2013-12-20 05:00,276.5159962287865
,2013-12-20 06:00,277.0331191169939
,2013-12-20 07:00,276.71904152328824
,2013-12-20 08:00,278.32803379867045
,2013-12-20 09:00,280.5709389982793
,2013-12-20 10:00,281.8462921148329
,2013-12-20 11:00,282.7314639801727
,2013-12-20 12:00,282.53464838756344
,2013-12-20 13:00,282.7143849511133
,2013-12-20 14:00,282.60839046252835
,2013-12-20 15:00,281.7938967437989
,2013-12-20 16:00,280.88752263721983
,2013-12-20 17:00,278.9363662425383
,2013-12-20 18:00,278.34232885610714
,2013-12-20 19:00,277.7490574079936
,2013-12-20 20:00,277.9183369258215
,2013-12-20 21:00,277.88327626763817
,2013-12-20 22:00,278.33080765196075
,2013-12-20 23:00,278.20564040811695
,2013-12-21 00:00,278.57574156761825
,2013-12-21 01:00,278.12172632855015
,2013-12-21 02:00,277.7162767256054
,2013-12-21 03:00,277.4691571415793
,2013-12-21 04:00,277.5535498552495
,2013-12-21 05:00,277.76861954652077
,2013-12-21 06:00,277.7717272358364
,2013-12-21 07:00,277.6231323451341
,2013-12-21 08:00,279.0037406722077
,2013-12-21 09:00,279.99400078070704
,2013-12-21 10:00,281.5328631137618
,2013-12-21 11:00,282.2799110347206
,2013-12-21 12:00,281.6857793214708
,2013-12-21 13:00,282.26287391018866
,2013-12-21 14:00,281.49187295808235
,2013-12-21 15:00,281.5308368129207
,2013-12-21 16:00,280.59978291303537
,2013-12-21 17:00,279.813964906963
