@T,table
Created,2022-05-17 11:13
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2013-12-15 11:00,0.0
,2013-12-15 12:00,0.008682548531661274
,2013-12-15 13:00,0.004536889732225212
,2013-12-15 14:00,5.974769217127004E-4
,2013-12-15 15:00,5.951568936831624E-4
,2013-12-15 16:00,5.785119278524532E-4
,2013-12-15 17:00,5.597515818880489E-4
,2013-12-15 18:00,5.491407917189948E-4
,2013-12-15 19:00,5.455845550145227E-4
,2013-12-15 20:00,5.429459619965617E-4
,2013-12-15 21:00,5.447203139176392E-4
,2013-12-15 22:00,5.43247502560855E-4
,2013-12-15 23:00,5.324081294176075E-4
,2013-12-16 00:00,5.285120542617639E-4
,2013-12-16 01:00,5.2786399168392E-4
,2013-12-16 02:00,5.207509905483254E-4
,2013-12-16 03:00,5.240438294187987E-4
,2013-12-16 04:00,5.22601325171426E-4
,2013-12-16 05:00,5.174249601308794E-4
,2013-12-16 06:00,5.180324372838029E-4
,2013-12-16 07:00,5.174179751110817E-4
,2013-12-16 08:00,5.267314006959469E-4
,2013-12-16 09:00,0.003266771335389748
,2013-12-16 10:00,0.0078387065880182
,2013-12-16 11:00,0.009921722140162811
,2013-12-16 12:00,0.008677703555907463
,2013-12-16 13:00,0.004544360884751358
,2013-12-16 14:00,5.889624180444473E-4
,2013-12-16 15:00,5.799232917090859E-4
,2013-12-16 16:00,5.703076010566541E-4
,2013-12-16 17:00,5.565261467442543E-4
,2013-12-16 18:00,5.487374038360456E-4
,2013-12-16 19:00,5.458647912417593E-4
,2013-12-16 20:00,5.465753682974948E-4
,2013-12-16 21:00,5.500219735983481E-4
,2013-12-16 22:00,5.51465428955426E-4
,2013-12-16 23:00,5.426216795353791E-4
,2013-12-17 00:00,5.330522791629879E-4
,2013-12-17 01:00,5.30880684866623E-4
,2013-12-17 02:00,5.284049523173566E-4
,2013-12-17 03:00,5.3268762985386E-4
,2013-12-17 04:00,5.274722798792614E-4
,2013-12-17 05:00,5.235458386126036E-4
,2013-12-17 06:00,5.258024996568253E-4
,2013-12-17 07:00,5.168825599596943E-4
,2013-12-17 08:00,5.345017169302296E-4
,2013-12-17 09:00,0.003091689425624714
,2013-12-17 10:00,0.007844318352339922
,2013-12-17 11:00,0.009970633420682573
,2013-12-17 12:00,0.008666522023456162
,2013-12-17 13:00,0.004521913015585075
,2013-12-17 14:00,5.976504728861559E-4
,2013-12-17 15:00,5.893673389313457E-4
,2013-12-17 16:00,5.701060028855875E-4
,2013-12-17 17:00,5.529967897961695E-4
,2013-12-17 18:00,5.48385323552324E-4
,2013-12-17 19:00,5.3049917007525E-4
,2013-12-17 20:00,5.290336726143643E-4
,2013-12-17 21:00,5.193377496609801E-4
,2013-12-17 22:00,5.183701082425331E-4
,2013-12-17 23:00,5.045307744129755E-4
,2013-12-18 00:00,5.007192634742418E-4
,2013-12-18 01:00,4.883308514138439E-4
,2013-12-18 02:00,5.056209425819036E-4
,2013-12-18 03:00,4.941421432167319E-4
,2013-12-18 04:00,4.849152107177805E-4
,2013-12-18 05:00,4.833925479927547E-4
,2013-12-18 06:00,4.799665142809547E-4
,2013-12-18 07:00,4.8233022088585317E-4
,2013-12-18 08:00,5.136952259981834E-4
,2013-12-18 09:00,0.003038703352739618
,2013-12-18 10:00,0.007826890109081327
,2013-12-18 11:00,0.009945555448092652
,2013-12-18 12:00,0.00870662713234653
,2013-12-18 13:00,0.004500045854678452
,2013-12-18 14:00,6.059351313807947E-4
,2013-12-18 15:00,5.964366039837917E-4
,2013-12-18 16:00,5.784521901200917E-4
,2013-12-18 17:00,5.413883386947506E-4
,2013-12-18 18:00,5.240887641318969E-4
,2013-12-18 19:00,5.063958895248399E-4
,2013-12-18 20:00,4.961860925455899E-4
,2013-12-18 21:00,5.078576590092596E-4
,2013-12-18 22:00,5.029398534261959E-4
,2013-12-18 23:00,4.897291676205473E-4
,2013-12-19 00:00,4.893758265094173E-4
,2013-12-19 01:00,4.8323161749049047E-4
,2013-12-19 02:00,4.8434067364567786E-4
,2013-12-19 03:00,4.910258617677565E-4
,2013-12-19 04:00,4.809140789191175E-4
,2013-12-19 05:00,4.808967702470084E-4
,2013-12-19 06:00,4.770336079133669E-4
,2013-12-19 07:00,4.650083801229913E-4
,2013-12-19 08:00,4.8141500109586955E-4
,2013-12-19 09:00,0.0030686034457284937
,2013-12-19 10:00,0.0077174282942238034
,2013-12-19 11:00,0.009868337499508705
,2013-12-19 12:00,0.008610600498555472
,2013-12-19 13:00,0.004550618685454353
,2013-12-19 14:00,5.874068769326626E-4
,2013-12-19 15:00,5.801728037365467E-4
,2013-12-19 16:00,5.511911706939787E-4
,2013-12-19 17:00,5.139688666185433E-4
,2013-12-19 18:00,5.083367068637613E-4
,2013-12-19 19:00,5.007275534741173E-4
,2013-12-19 20:00,4.923930952459132E-4
,2013-12-19 21:00,4.911098554716251E-4
,2013-12-19 22:00,4.910913597148287E-4
,2013-12-19 23:00,4.8529859216583715E-4
,2013-12-20 00:00,4.863502435016572E-4
,2013-12-20 01:00,4.7885709328220283E-4
,2013-12-20 02:00,4.696707375294647E-4
,2013-12-20 03:00,4.6597206939247163E-4
,2013-12-20 04:00,4.709944543320482E-4
,2013-12-20 05:00,4.718177650568207E-4
,2013-12-20 06:00,4.820404106764282E-4
,2013-12-20 07:00,4.7546124606330845E-4
,2013-12-20 08:00,4.949014175341005E-4
,2013-12-20 09:00,0.0029677575108200786
,2013-12-20 10:00,0.00769536576716851
,2013-12-20 11:00,0.009891475198709008
,2013-12-20 12:00,0.008692451659624087
,2013-12-20 13:00,0.004556414455721029
,2013-12-20 14:00,5.886327308898605E-4
,2013-12-20 15:00,5.773206176413614E-4
,2013-12-20 16:00,5.584475523326259E-4
,2013-12-20 17:00,5.181651142753652E-4
,2013-12-20 18:00,5.058020603884128E-4
,2013-12-20 19:00,4.935136475127104E-4
,2013-12-20 20:00,4.967077766597458E-4
,2013-12-20 21:00,4.957594572205858E-4
,2013-12-20 22:00,5.046012763388618E-4
,2013-12-20 23:00,5.018186857612656E-4
,2013-12-21 00:00,5.090947514031336E-4
