@T,table
Created,2022-05-28 12:59
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2013-12-15 11:00,284.7188723313933
,2013-12-15 12:00,284.1640028366065
,2013-12-15 13:00,284.046252744207
,2013-12-15 14:00,283.2274199304857
,2013-12-15 15:00,281.94849244323177
,2013-12-15 16:00,280.969682129779
,2013-12-15 17:00,280.0196378827369
,2013-12-15 18:00,279.52660749964286
,2013-12-15 19:00,279.36882825977614
,2013-12-15 20:00,279.2546141014298
,2013-12-15 21:00,279.35106051761124
,2013-12-15 22:00,279.2924432000422
,2013-12-15 23:00,278.78531439068973
,2013-12-16 00:00,278.60991604509076
,2013-12-16 01:00,278.5902802879497
,2013-12-16 02:00,278.2595661814548
,2013-12-16 03:00,278.42951627619937
,2013-12-16 04:00,278.37149080434114
,2013-12-16 05:00,278.1332709565217
,2013-12-16 06:00,278.17395052412604
,2013-12-16 07:00,278.15563985880937
,2013-12-16 08:00,281.7011092406374
,2013-12-16 09:00,283.04100205862994
,2013-12-16 10:00,283.39458940424083
,2013-12-16 11:00,284.4442432438948
,2013-12-16 12:00,284.4288109008025
,2013-12-16 13:00,283.88234384428023
,2013-12-16 14:00,283.12941940414976
,2013-12-16 15:00,281.51963665513074
,2013-12-16 16:00,280.8752674081459
,2013-12-16 17:00,280.1548156001785
,2013-12-16 18:00,279.79278192235364
,2013-12-16 19:00,279.66658656840855
,2013-12-16 20:00,279.7127536407328
,2013-12-16 21:00,279.89063939482384
,2013-12-16 22:00,279.97216619786536
,2013-12-16 23:00,279.55812494903984
,2013-12-17 00:00,279.10782310654054
,2013-12-17 01:00,279.0145077770633
,2013-12-17 02:00,278.90632415776594
,2013-12-17 03:00,279.12552790965015
,2013-12-17 04:00,278.8845249162552
,2013-12-17 05:00,278.70559815754086
,2013-12-17 06:00,278.82688809742785
,2013-12-17 07:00,278.40463464900944
,2013-12-17 08:00,282.3141613331454
,2013-12-17 09:00,284.6077899996579
,2013-12-17 10:00,284.47500348195854
,2013-12-17 11:00,285.3583661243054
,2013-12-17 12:00,284.52517347060655
,2013-12-17 13:00,284.56758745412867
,2013-12-17 14:00,283.85858537133976
,2013-12-17 15:00,282.28810593910754
,2013-12-17 16:00,281.16688701913
,2013-12-17 17:00,280.2776471680901
,2013-12-17 18:00,280.0662945939127
,2013-12-17 19:00,279.20872609851
,2013-12-17 20:00,279.1491679820806
,2013-12-17 21:00,278.68736847165087
,2013-12-17 22:00,278.65172253295236
,2013-12-17 23:00,277.9841105488723
,2013-12-18 00:00,277.8078381107549
,2013-12-18 01:00,277.2068085233734
,2013-12-18 02:00,278.07226155895574
,2013-12-18 03:00,277.5171484293603
,2013-12-18 04:00,277.0708905515976
,2013-12-18 05:00,277.0063588393018
,2013-12-18 06:00,276.84690003757464
,2013-12-18 07:00,276.9758159111725
,2013-12-18 08:00,281.60787432632065
,2013-12-18 09:00,284.37781967229955
,2013-12-18 10:00,285.3777568524895
,2013-12-18 11:00,285.5104388500422
,2013-12-18 12:00,285.34437546887887
,2013-12-18 13:00,285.245750274662
,2013-12-18 14:00,284.5831159400025
,2013-12-18 15:00,282.95450251445413
,2013-12-18 16:00,281.8824660314776
,2013-12-18 17:00,280.00686864561777
,2013-12-18 18:00,279.1693120118776
,2013-12-18 19:00,278.3076593543942
,2013-12-18 20:00,277.81263667017396
,2013-12-18 21:00,278.4034422067519
,2013-12-18 22:00,278.17129220662173
,2013-12-18 23:00,277.52536274932106
,2013-12-19 00:00,277.5191432277371
,2013-12-19 01:00,277.223254805253
,2013-12-19 02:00,277.2901348811657
,2013-12-19 03:00,277.63588832896505
,2013-12-19 04:00,277.141010903655
,2013-12-19 05:00,277.15145485693523
,2013-12-19 06:00,276.96858086187973
,2013-12-19 07:00,276.37278000498753
,2013-12-19 08:00,280.33656768899516
,2013-12-19 09:00,282.967641540065
,2013-12-19 10:00,284.3032831338892
,2013-12-19 11:00,285.03742451612095
,2013-12-19 12:00,283.98803364343865
,2013-12-19 13:00,284.6516189732236
,2013-12-19 14:00,284.0043793732975
,2013-12-19 15:00,282.47066352764807
,2013-12-19 16:00,280.85051846744113
,2013-12-19 17:00,278.9440298136366
,2013-12-19 18:00,278.67525408292045
,2013-12-19 19:00,278.3068741545691
,2013-12-19 20:00,277.9007827907229
,2013-12-19 21:00,277.84794268407296
,2013-12-19 22:00,277.85863805471786
,2013-12-19 23:00,277.5785748334743
,2013-12-20 00:00,277.6431414649363
,2013-12-20 01:00,277.2762286737131
,2013-12-20 02:00,276.8217350161786
,2013-12-20 03:00,276.6447739981918
,2013-12-20 04:00,276.91164663302743
,2013-12-20 05:00,276.9648384769414
,2013-12-20 06:00,277.4947484395716
,2013-12-20 07:00,277.17272143278785
,2013-12-20 08:00,281.23687258101205
,2013-12-20 09:00,283.64716591518993
,2013-12-20 10:00,284.8170465728464
,2013-12-20 11:00,285.5536420701416
,2013-12-20 12:00,285.153873591617
,2013-12-20 13:00,285.0483518504436
,2013-12-20 14:00,284.39473154979
,2013-12-20 15:00,282.6519810520734
,2013-12-20 16:00,281.52279363361674
,2013-12-20 17:00,279.44514155033403
,2013-12-20 18:00,278.8357607650576
,2013-12-20 19:00,278.227299774931
,2013-12-20 20:00,278.40075478145644
,2013-12-20 21:00,278.3646937343918
,2013-12-20 22:00,278.8234877489645
,2013-12-20 23:00,278.69501799895966
,2013-12-21 00:00,279.07444604326423
,2013-12-21 01:00,278.60874354554323
,2013-12-21 02:00,278.19291567987227
,2013-12-21 03:00,277.9394635493755
,2013-12-21 04:00,278.02586847167487
,2013-12-21 05:00,278.2462470334654
,2013-12-21 06:00,278.24932214902645
,2013-12-21 07:00,278.0968720444374
,2013-12-21 08:00,281.8982852467111
,2013-12-21 09:00,283.0705433034506
,2013-12-21 10:00,284.499692592873
,2013-12-21 11:00,285.0923291791775
,2013-12-21 12:00,284.2835515349109
,2013-12-21 13:00,284.5839997256763
,2013-12-21 14:00,283.2454649330778
,2013-12-21 15:00,282.37500141355275
,2013-12-21 16:00,281.22439437522104
,2013-12-21 17:00,280.34245984981027
,2013-12-21 18:00,279.3749223724539
