@T,table
Created,2022-03-31 14:20
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2014-01-01 00:00,0.008631459802551629
,2014-01-01 01:00,0.008675100441532975
,2014-01-01 02:00,0.008644866399413654
,2014-01-01 03:00,0.008616545561800602
,2014-01-01 04:00,0.008634105364392776
,2014-01-01 05:00,0.008634452259661923
,2014-01-01 06:00,0.008644691173059502
,2014-01-01 07:00,0.026480421214252044
,2014-01-01 08:00,0.05079826048659208
,2014-01-01 09:00,0.15360068779271738
,2014-01-01 10:00,0.22906123179801494
,2014-01-01 11:00,0.27189964634244657
,2014-01-01 12:00,0.27433998960022776
,2014-01-01 13:00,0.23131977641946508
,2014-01-01 14:00,0.15767554087970093
,2014-01-01 15:00,0.04983507251667438
,2014-01-01 16:00,0.009109308338270559
,2014-01-01 17:00,0.009049083616069886
,2014-01-01 18:00,0.009006600377242643
,2014-01-01 19:00,0.008954501287938723
,2014-01-01 20:00,0.008885902185392404
,2014-01-01 21:00,0.008872081020248127
,2014-01-01 22:00,0.00886693630458959
,2014-01-01 23:00,0.008855016205219243

